CLUSTER_GRUPO;CEP_RISCO;DS_MOD_PRC;MOD_PRC;DS_MOD_ADC;MOD_ADC;OFERTA;OFERTA_GERAL;OFERTA_DIGITAL;OFERTA_URA;OFERTA_PAP;OFERTA_OUTBOUND
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R09;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R10;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R11;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R12;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R13;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R14;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R15;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R16;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R17;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R18;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R19;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R20;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;Restritivos;y. Sem Rest;8;8;8;8;8;8
G1;d. SEM RISCO;HVI3;R11;Restritivos;z. Com Rest;8;8;8;8;8;8
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R01;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R02;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R03;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R04;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R05;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R06;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R07;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R08;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R09;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R10;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R11;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R12;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R13;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R14;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R15;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R16;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R17;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R18;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R19;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R20;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R12;Restritivos;y. Sem Rest;8;8;8;8;8;8
G1;d. SEM RISCO;HVI3;R12;Restritivos;z. Com Rest;8;8;8;8;8;8
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R01;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R02;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R03;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R04;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R05;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R06;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R07;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R08;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R09;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R10;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R11;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R12;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R13;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R14;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R15;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R16;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R17;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R18;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R19;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R20;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R13;Restritivos;y. Sem Rest;8;8;8;8;8;8
G1;d. SEM RISCO;HVI3;R13;Restritivos;z. Com Rest;8;8;8;8;8;8
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R01;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R02;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R03;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R04;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R05;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R06;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R07;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R08;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R09;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R10;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R11;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R12;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R13;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R14;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R15;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R16;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R17;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R18;12;12;12;12;12;12
