CLUSTER_GRUPO;CEP_RISCO;DS_MOD_PRC;MOD_PRC;DS_MOD_ADC;MOD_ADC;OFERTA;OFERTA_GERAL;OFERTA_DIGITAL;OFERTA_URA;OFERTA_PAP;OFERTA_OUTBOUND
G1;d. SEM RISCO;HVI3;R03;G1 - BHV;R17;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R03;G1 - BHV;R18;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R03;G1 - BHV;R19;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R03;G1 - BHV;R20;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R03;Restritivos;y. Sem Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R03;Restritivos;z. Com Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R01;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R02;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R03;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R04;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R05;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R06;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R07;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R08;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R09;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R10;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R11;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R12;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R13;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R14;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R15;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R16;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R17;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R18;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R19;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;G1 - BHV;R20;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;Restritivos;y. Sem Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R04;Restritivos;z. Com Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R01;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R02;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R03;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R04;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R05;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R06;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R07;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R08;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R09;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R10;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R11;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R12;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R13;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R14;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R15;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R16;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R17;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R18;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R19;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;G1 - BHV;R20;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;Restritivos;y. Sem Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R05;Restritivos;z. Com Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R01;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R02;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R03;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R04;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R05;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R06;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R07;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R08;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R09;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R10;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R11;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R12;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R13;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R14;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R15;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R16;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R17;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R18;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R19;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R06;G1 - BHV;R20;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R06;Restritivos;y. Sem Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R06;Restritivos;z. Com Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R01;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R02;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R03;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R04;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R05;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R06;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R07;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R08;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R09;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R10;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R11;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R12;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R13;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R14;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R15;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R16;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R17;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R18;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R19;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R07;G1 - BHV;R20;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R07;Restritivos;y. Sem Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R07;Restritivos;z. Com Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R01;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R02;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R03;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R04;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R05;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R06;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R07;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R08;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R09;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R10;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R11;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R12;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R13;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R14;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R15;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R16;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R17;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R18;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R19;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R08;G1 - BHV;R20;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R08;Restritivos;y. Sem Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R08;Restritivos;z. Com Rest;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R01;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R02;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R03;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R04;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R05;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R06;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R07;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R08;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R09;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R10;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R11;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R12;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R13;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R14;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R15;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R16;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R17;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R18;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R19;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R20;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R09;Restritivos;y. Sem Rest;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R09;Restritivos;z. Com Rest;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R01;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R02;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R03;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R04;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R05;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R06;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R07;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R08;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R09;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R10;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R11;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R12;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R13;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R14;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R15;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R16;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R17;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R18;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R19;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R20;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;Restritivos;y. Sem Rest;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R10;Restritivos;z. Com Rest;8;8;8;8;8;8
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R01;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R02;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R03;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R04;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R05;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R06;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R07;12;12;12;12;12;12
G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R08;12;12;12;12;12;12
